@relation flowClassify

@attribute srcIp numeric
@attribute dstIp numeric
@attribute srcPort numeric
@attribute dstPort numeric
@attribute protocol numeric
@attribute serverOrClient numeric
@attribute packetSize numeric
@attribute class {Elephant, Mouse}

@data

% instances: 7168

271147829,1084218787,9,443,6,2,767,Mouse
271147829,1084218787,9,442,6,2,431,Mouse
271147829,1084218787,9,446,6,2,3063,Mouse
44401819,1084218848,9,1519,6,1,494,Mouse
356523775,1084218860,9,509,6,2,4380,Mouse
425921382,1084218760,9,271,6,2,1332,Mouse
271147829,1084218787,9,462,6,2,910,Mouse
271147829,1084218787,9,461,6,2,623,Mouse
1150344045,1844015049,234,7,17,0,120,Mouse
356523775,1084218860,9,504,6,2,4380,Mouse
1084219134,1084218821,25,26,17,0,600,Mouse
271147829,1084218787,9,459,6,2,432,Mouse
271147829,1084218787,9,458,6,2,623,Mouse
1162843235,1084218635,18,232,6,2,268,Mouse
481218326,1084218869,3,231,6,2,303,Mouse
1162843235,1084218635,18,234,6,2,272,Mouse
273521666,1084218649,9,103,6,2,120,Mouse
1162843235,1084218635,18,235,6,2,273,Mouse
1844015056,1084218636,74,153,17,0,116,Mouse
1162843235,1084218635,18,236,6,2,273,Mouse
481218326,1084218869,3,234,6,2,303,Mouse
472154864,1084218835,9,87,17,0,109,Mouse
488705181,1084218835,9,87,17,0,184,Mouse
481218326,1084218869,3,235,6,2,303,Mouse
481218326,1084218869,3,232,6,2,303,Mouse
273521666,1084218649,9,100,6,2,120,Mouse
481218326,1084218869,3,233,6,2,303,Mouse
1084220398,1084218640,9,121,17,0,338,Mouse
276704656,1084218654,9,1046,6,1,748,Mouse
276704656,1084218654,9,1047,6,1,2507,Mouse
276704656,1084218654,9,1048,6,1,779,Mouse
310851485,1084218779,127,310,6,2,699,Mouse
1083314636,1084218760,9,545,6,2,3002,Mouse
151704516,1084218872,9,434,6,2,4356,Mouse
276704656,1084218654,9,1045,6,1,3340,Mouse
1083314636,1084218760,9,546,6,2,3347,Mouse
1084218643,808344774,193,74,17,0,116,Mouse
43881470,1084218848,9,1928,6,1,2896,Mouse
38324311,1084218760,9,228,6,2,635,Mouse
1084220398,1084218640,9,128,17,0,185,Mouse
38324311,1084218760,9,229,6,2,423,Mouse
1084220398,1084218772,9,79,17,0,142,Mouse
1844014880,1084218876,74,250,17,0,116,Mouse
43473480,1084218848,9,1927,6,1,19,Mouse
1844015096,1084218848,74,634,17,0,348,Mouse
1844015094,1084218827,74,329,17,0,116,Mouse
1150344045,1844015049,236,7,17,0,114,Mouse
1844015044,1084218872,74,126,17,0,232,Mouse
43881470,1084218848,9,1933,6,1,2829,Mouse
43881470,1084218848,9,1934,6,1,2829,Mouse
1844015059,1084218876,74,250,17,0,116,Mouse
1084220398,1084218772,9,84,17,0,180,Mouse
1844015100,1084218848,74,344,17,0,348,Mouse
1084220398,1084218772,9,85,17,0,88,Mouse
1084220398,1084218772,9,83,17,0,88,Mouse
76521663,1084218768,9,568,6,2,1576,Mouse
1084220398,1084218840,9,37,17,0,187,Mouse
164475856,1084218787,9,190,6,2,2841,Mouse
1844015092,1084218876,74,124,17,0,116,Mouse
164475856,1084218787,9,191,6,2,84,Mouse
1844015059,1084218848,74,344,17,0,348,Mouse
1844015083,1084218848,74,185,17,0,348,Mouse
1843956832,1844015023,7,169,17,0,80,Mouse
1150344045,1844015054,168,7,17,0,120,Mouse
1150322468,1084218853,9,542,17,0,180,Mouse
1844015077,1084218848,74,971,17,0,348,Mouse
1150322468,1084218853,9,541,17,0,266,Mouse
2484426131,1084218631,9,392,6,2,262,Mouse
159667645,1084218774,9,492,6,2,999,Mouse
1150322468,1084218845,9,433,17,0,266,Mouse
159657134,1084218801,9,284,6,2,206,Mouse
1150344045,1844015055,511,7,17,0,114,Mouse
1844014989,1084218848,74,690,17,0,348,Mouse
1150344045,1844015053,406,7,17,0,120,Mouse
1844014886,1084218848,74,766,17,0,232,Mouse
1844015043,1084218827,74,329,17,0,116,Mouse
2492291030,1084218866,9,993,6,2,188,Mouse
1084220398,1084218868,9,457,17,0,256,Mouse
1150322597,1084218864,26,241,6,2,365,Mouse
1150344045,1844015055,645,7,17,0,120,Mouse
43403288,1084218844,9,393,6,2,4380,Mouse
281689296,1084218872,9,312,6,2,201,Mouse
1844015082,1084218848,74,971,17,0,348,Mouse
1103589861,1084218758,9,95,6,2,1902,Mouse
31233500,1084218846,9,393,6,2,1613,Mouse
1844015047,1084218848,74,850,17,0,348,Mouse
31233500,1084218846,9,394,6,2,2760,Mouse
1162843235,1084218858,3,230,6,2,76,Mouse
3670704434,1084218832,9,1943,6,1,1488,Mouse
1150344045,1844015055,646,7,17,0,114,Mouse
73742470,1084218644,9,1983,6,1,4380,Mouse
73742470,1084218644,9,1982,6,1,4380,Mouse
73742470,1084218644,9,1981,6,1,4380,Mouse
1084220398,1084218879,9,167,17,0,185,Mouse
310884395,1084218787,9,559,6,2,644,Mouse
281689297,1084218872,9,528,6,2,201,Mouse
3681201688,1084218862,297,1587,6,1,196,Mouse
281689297,1084218758,9,772,6,2,162,Mouse
281689297,1084218758,9,771,6,2,161,Mouse
1084220398,1084218868,9,430,17,0,109,Mouse
1103589861,1084218758,9,24,6,2,2277,Mouse
1103589861,1084218758,9,23,6,2,2224,Mouse
281689305,1084218654,9,426,6,2,597,Mouse
290230460,1084218848,9,1238,6,1,416,Mouse
43256489,1084218848,9,1556,6,1,769,Mouse
290230460,1084218848,9,1237,6,1,2220,Mouse
43256489,1084218848,9,1555,6,1,603,Mouse
1844015101,1844015023,74,73,17,0,348,Mouse
